127.0.0.1 - - [22/Mar/2018:15:28:27 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/ HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/easyui.css HTTP/1.1" 200 51951
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/js/common.js HTTP/1.1" 200 7793
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/css/taotao.css HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icon.css HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:32 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/jquery.easyui.min.js HTTP/1.1" 200 353674
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:34 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:34 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:34 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:34 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:34 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:47 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:47 +0800] "GET /taotao-manager-web/item-add?_=1521703713078 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:47 +0800] "GET /taotao-manager-web/item-add?_=1521703713080 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:47 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:47 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703713081 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:48 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:48 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703713082 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:48 +0800] "GET /taotao-manager-web/item-list?_=1521703713079 HTTP/1.1" 200 6784
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:28:50 +0800] "GET /taotao-manager-web/item-add?_=1521703713083 HTTP/1.1" 200 4622
